title,tmdb_id,imdb_id,duration,genres,img,popularity,vote_average,vote_count,year_released
b'am n\xc3\xa4chsten morgen kehrte der minister nicht an seinen arbeitsplatz zur\xc3\xbcck',b'6581',b'tt0090622',b'70',"b""['science fiction']""",b'none',b'0.017',b'0.0',b'0',b'1986-04-23'
b'ein teufel f\xc3\xbcr familie engel',b'6582',b'tt1068293',b'91',"b""['comedy']""",b'/7nunt1e7tdncml2zmpbl6ybn2yh.jpg',b'0.327',b'7.0',b'1',b'2007-01-01'
b'golden goddess of rio beni',b'6584',b'tt0058149',b'91',"b""['adventure']""",b'/ddk9795tu6kqx0rdw44ngd67tsz.jpg',b'1.128',b'0.0',b'0',b'1964-09-03'
b'the jayhawkers!',b'6587',b'tt0052941',b'100',"b""['action', 'western']""",b'/h3dmhd9sh5csu1qicvmqf2lcr8.jpg',b'0.479',b'5.3',b'6',b'1959-10-15'
b'der eiserne gustav',b'6588',b'tt0051575',b'102',"b""['comedy', 'drama']""",b'/6rbz15ltmtcuensmulgcytanzwm.jpg',b'0.085',b'7.5',b'2',b'1958-12-05'
b'what have you done to solange?',b'6591',b'tt0068416',b'103',"b""['mystery', 'thriller']""",b'/emwcpwaqpckzr0c312v0ecyfq5u.jpg',b'2.605',b'7.0',b'43',b'1972-03-09'
b'im singenden r\xc3\xb6ssel am k\xc3\xb6nigssee',b'6592',b'tt0057174',b'90',"b""['music', 'comedy']""",b'/lfzbewiau5k2hcfkdp0lyvxwwkr.jpg',b'0.093',b'4.0',b'2',b'1963-10-11'
b'godzilla vs. mechagodzilla ii',b'6593',b'tt0107027',b'108',"b""['drama', 'action', 'science fiction', 'adventure']""",b'/89ue2qqewaixgnbwmqx4plkptn.jpg',b'2.492',b'6.4',b'36',b'1993-12-11'
b'dancing with danger',b'6603',b'tt0109530',b'100',"b""['thriller']""",b'/obywpqkjwzaermhhrm1prfhnfai.jpg',b'0.622',b'10.0',b'1',b'1994-04-22'
b'keoma',b'6609',b'tt0074740',b'105',"b""['action', 'western']""",b'/cmhuvjjvsfq0mzobd18hcknpdky.jpg',b'3.58',b'6.9',b'39',b'1976-11-25'
b'the wonderful country',b'6610',b'tt0053453',b'98',"b""['western']""",b'/ns12kvsceep6sci3tu6hk5brjo2.jpg',b'1.781',b'5.6',b'10',b'1959-10-21'
